min,max,count,mean,year,month,type,index,lat,long
319.0,613.0,90,396.47777777777776,0s_e,ev,2.1_,67,24.42638,73.16282
3.0,4.0,90,3.6444444444444444,0s_e,ev,2.1_,68,24.34578,71.25181
3.0,16.0,90,5.633333333333334,0s_e,ev,2.1_,69,24.34578,71.33144
6.0,25.0,81,14.975308641975309,0s_e,ev,2.1_,70,24.34578,71.41106
20.0,53.0,90,33.833333333333336,0s_e,ev,2.1_,71,24.34578,71.49069
32.0,48.0,81,38.34567901234568,0s_e,ev,2.1_,72,24.34578,71.57031
42.0,58.0,90,48.8,0s_e,ev,2.1_,73,24.34578,71.64994
54.0,76.0,81,64.60493827160494,0s_e,ev,2.1_,74,24.34578,71.72956
71.0,94.0,90,83.31111111111112,0s_e,ev,2.1_,75,24.34578,71.80919
91.0,110.0,81,99.93827160493827,0s_e,ev,2.1_,76,24.34578,71.88882
106.0,128.0,90,116.64444444444445,0s_e,ev,2.1_,77,24.34578,71.96844
121.0,144.0,90,132.01111111111112,0s_e,ev,2.1_,78,24.34578,72.04807
138.0,162.0,81,148.25925925925927,0s_e,ev,2.1_,79,24.34578,72.12769
129.0,168.0,90,149.66666666666666,0s_e,ev,2.1_,80,24.34578,72.20732
135.0,186.0,81,158.71604938271605,0s_e,ev,2.1_,81,24.34578,72.28694
154.0,436.0,90,193.0222222222222,0s_e,ev,2.1_,82,24.34578,72.36657
171.0,397.0,81,220.62962962962962,0s_e,ev,2.1_,83,24.34578,72.44619
181.0,344.0,90,210.57777777777778,0s_e,ev,2.1_,84,24.34578,72.52582
203.0,498.0,81,291.641975308642,0s_e,ev,2.1_,85,24.34578,72.60544
259.0,645.0,90,413.81111111111113,0s_e,ev,2.1_,86,24.34578,72.68507
262.0,591.0,81,340.7037037037037,0s_e,ev,2.1_,87,24.34578,73.00357
256.0,374.0,90,299.55555555555554,0s_e,ev,2.1_,88,24.34578,73.08319
281.0,373.0,81,318.28395061728395,0s_e,ev,2.1_,89,24.34578,73.16282
315.0,807.0,90,487.23333333333335,0s_e,ev,2.1_,90,24.34578,73.24244
4.0,8.0,100,5.26,0s_e,ev,2.1_,91,24.26518,71.25181
5.0,16.0,100,11.15,0s_e,ev,2.1_,92,24.26518,71.33144
14.0,24.0,90,18.755555555555556,0s_e,ev,2.1_,93,24.26518,71.41106
21.0,37.0,100,26.67,0s_e,ev,2.1_,94,24.26518,71.49069
32.0,55.0,90,39.9,0s_e,ev,2.1_,95,24.26518,71.57031
40.0,57.0,100,48.8,0s_e,ev,2.1_,96,24.26518,71.64994
51.0,70.0,90,60.34444444444444,0s_e,ev,2.1_,97,24.26518,71.72956
67.0,91.0,100,79.29,0s_e,ev,2.1_,98,24.26518,71.80919
84.0,108.0,90,95.22222222222223,0s_e,ev,2.1_,99,24.26518,71.88882
97.0,119.0,100,110.64,0s_e,ev,2.1_,100,24.26518,71.96844
114.0,134.0,100,124.01,0s_e,ev,2.1_,101,24.26518,72.04807
116.0,146.0,90,133.66666666666666,0s_e,ev,2.1_,102,24.26518,72.12769
121.0,159.0,100,142.31,0s_e,ev,2.1_,103,24.26518,72.20732
154.0,192.0,90,165.2,0s_e,ev,2.1_,104,24.26518,72.28694
166.0,211.0,100,182.98,0s_e,ev,2.1_,105,24.26518,72.36657
186.0,252.0,90,213.77777777777777,0s_e,ev,2.1_,106,24.26518,72.44619
188.0,317.0,100,239.71,0s_e,ev,2.1_,107,24.26518,72.52582
246.0,444.0,90,293.9111111111111,0s_e,ev,2.1_,108,24.26518,72.60544
290.0,619.0,100,347.93,0s_e,ev,2.1_,109,24.26518,72.68507
278.0,635.0,100,397.44,0s_e,ev,2.1_,110,24.26518,72.76469
275.0,714.0,90,455.25555555555553,0s_e,ev,2.1_,111,24.26518,72.84432
222.0,630.0,100,337.68,0s_e,ev,2.1_,112,24.26518,72.92394
216.0,458.0,90,256.9888888888889,0s_e,ev,2.1_,113,24.26518,73.00357
230.0,356.0,100,273.33,0s_e,ev,2.1_,114,24.26518,73.08319
